EGID,IDENT,design_demand,supply_temp_heat,return_temp_heat
295105262,31:E282,8416.4198288159,69,54
295074653,24:K734,3076.5911879477,70,50
2037037,24:K972,2716.7904205096,52,32
9082316,31:C401,2483.094055896,67,52
295099542,8:C1072,2028.1436038739,62,43
295060386,8:3350,1791.5104967295,53,36
2034840,8:C1245,1652.2706733858,47,23
2034961,8:C1467,1296.4943147486,65,43
2039538,24:K791,1109.6163028693,54,30
2034732,8:C1315,1033.8712326163,45,28
2034760,8:C1356,1015.7480212516,55,34
2040917,31:E213,993.7043801215,52,30
295020439,31:1337,943.4931739727,45,30
1019118,31:E281,933.2982530353,58,39
295078228,24:K838,860.8569305192,70,51
2040931,31:C551,840.5626611766,46,30
295138706,31:2029,827.9642340851,41,19
295077359,24:K921,819.2664124063,62,37
1013451,24:K933,792.7622144907,65,43
295077356,24:K929,730.55916162,68,48
295075438,24:K629,728.337733894,68,44
2034898,8:C1323,668.2482055919,56,33
9082230,8:C1259,628.2960591907,59,36
1002983,8:C1067,610.7963512247,40,24
9082244,8:C1501,595.5767738881,69,46
1002889,8:C1149,572.5311044318,70,50
295086090,8:C1303,556.2186286628,70,48
295030181,31:1390,543.0738236658,62,40
2375217,24:K817,537.4769708412,43,19
2034992,8:C1274,526.9052323562,45,20
295111989,31:1713,490.1919410266,51,27
2037035,24:K903,489.7486334557,42,17
1013441,24:K766,488.5388793269,44,24
2034990,8:C1208,487.5754035599,63,44
2040686,31:E215,484.2229649307,69,54
295100150,8:C1280,453.6012998908,67,42
295077942,24:K864,440.6578475641,46,24
2034928,8:C1367,433.0693216856,45,21
295100688,8:C1478,432.5872333614,62,40
3131457,8:C1194,431.6551709418,60,40
1013377,24:I505,429.4223742653,51,35
2034759,8:C1258,414.3596802956,46,28
1013372,24:I503,413.057605399,41,24
295077991,24:K806,383.1592052795,56,40
1013452,24:K822,379.9796643453,64,41
295091002,31:C369,379.970300242,41,20
2040916,31:E238,379.5614662628,62,45
1019124,31:E182,363.5863712305,66,47
295077971,24:K824,361.7363047709,64,44
2034692,8:C1334,350.6383998479,57,33
2034995,8:C1206,344.4081742347,64,39
2040920,31:E253,329.3975370185,62,43
295112323,8:3462,311.3270751391,42,20
295100070,8:C1233,307.2387353474,52,30
1013317,24:K801,302.0310429203,62,41
1013380,24:I559,301.2690379955,41,22
295077999,24:K818,301.0653422619,52,35
1002891,8:C1292,298.2493161619,61,44
295100066,8:C1209,294.3604650035,63,47
2034749,8:C1229,287.6555877451,56,41
295077974,24:K820,281.1551274762,67,50
1013453,24:K883,271.1946391877,44,29
2040918,31:E263,269.4798949325,58,43
295100449,8:C1180,266.2525890122,41,18
2035023,8:C1304,264.8017683094,67,47
2035042,8:C1319,244.9324369216,56,41
295100906,8:C1321,241.6208816903,68,45
1002919,8:A2648,239.8216943404,42,26
2034997,8:C1430,236.9778878861,62,37
2035029,8:C1205,236.1016229715,59,40
1013303,24:K916,227.6231636302,62,40
2034929,8:C1325,227.0261443172,42,27
2037033,24:K879,225.2675225235,65,42
2035044,8:C1333,225.0631055339,64,40
1002964,8:C1405,223.1373859758,59,43
2035018,8:C1443,222.0887802682,59,39
1013304,24:1487,215.7546992244,65,45
1019125,31:C400,215.5935766109,51,32
1013375,24:I465,213.2859934297,54,29
1013376,24:I467,213.2859934297,59,44
2035028,8:C1214,211.9553779851,68,50
2039193,24:K771,210.2872106584,47,22
2037034,24:K884,207.0744104504,50,31
9082317,31:E212,207.0490034947,40,25
2034841,8:C1256,200.0038808501,60,38
2037169,24:K890,198.7408760243,41,16
295077320,24:K987,198.4137843916,41,21
295105031,31:E183,197.0399995343,42,18
2035099,8:C1353,194.4620268516,63,46
2037177,24:I496,194.2343988207,64,43
2038601,24:I498,194.2343988207,58,33
295009914,8:C1243,193.950839719,59,40
2037165,24:K767,193.0514049648,68,46
2037036,24:K902,188.8812983772,46,21
295105051,31:E174,187.9000968272,60,44
295009952,31:E200,187.7599694189,65,49
2034750,8:C1230,184.5885415959,62,47
295100926,8:C1305,182.6261384959,58,33
1002999,8:C1391,177.2372292541,68,50
9082237,8:C1247,176.9433461854,54,29
2039191,24:K974,175.4203930913,47,29
2034927,8:C1276,174.0127485927,59,34
295100415,8:C1148,173.7912781774,57,32
1013360,24:I567,171.7681573659,41,25
2037791,24:K844,171.0561368854,53,29
2034803,8:C1306,169.3342013502,45,29
2037032,24:K711,168.6031330103,61,39
2039541,24:K999,167.9349284921,48,29
2037168,24:K963,166.6248505064,57,37
1013383,24:I562,165.289870399,44,23
295101507,8:3315,163.8584511657,67,48
2039188,24:K940,160.9928961038,54,30
1002911,8:C1346,159.8009900049,52,31
1013373,24:I469,159.3303399043,46,23
1002957,8:A2972,159.0572089055,54,30
295105252,31:E272,157.5927486315,42,25
1013454,24:K765,156.883027296,47,24
1013312,24:K702,155.8829807258,56,37
2035051,8:C1332,155.3569120852,44,28
2039197,24:K826,153.9259931581,40,15
2037166,24:K964,153.0368945955,50,25
2037173,24:K769,153.0071252409,63,47
1002945,8:A2970,151.0386125185,59,40
2035011,8:C1246,150.4509043351,48,26
1002921,8:C1242,149.2225686959,69,53
1002958,8:A2971,148.5755662969,49,28
1002908,8:C1282,146.2234477085,42,19
2039663,24:K983,142.4462486086,61,45
1002905,8:C894,141.1934455028,67,47
1013311,24:K779,139.9949742991,70,55
1013385,24:I542,138.7032333303,45,30
2037170,24:K736,138.5947189391,43,19
1013313,24:K712,137.6682105982,59,44
1002955,8:A3071,136.6836712584,62,37
2374780,8:3331,134.9379193339,45,20
1013371,24:I501,133.4995954214,41,17
1013379,24:1488,133.4995954214,68,53
1003685,8:C1441,133.4835222337,66,45
1013356,24:I561,133.1834516669,50,33
2039540,24:K975,132.2550552924,54,33
1002989,8:C1370,129.106861149,40,23
1019123,31:E226,128.387642597,46,24
1002998,8:C1392,127.4049143205,69,49
1002941,8:C1397,126.8257136075,53,30
1002986,8:C1424,126.231232047,53,34
2040903,31:E185,125.2258478202,53,34
1002970,8:A2965,124.3632333432,55,40
1002924,8:C1093,124.3616486628,61,44
2034689,8:C1095,124.3616486628,69,46
2037943,24:K881,123.2186412756,60,44
295095750,8:A2974,122.6835019239,61,44
2035076,8:C1363,122.6440814125,48,25
1002901,8:C1058,121.8515147928,53,35
1013367,24:I577,121.7394552451,50,29
2035054,8:A3081,121.7190807818,56,37
1003693,8:C1131,121.6151710194,51,32
1013358,24:I464,121.1322962408,59,43
2037167,24:K962,121.0075592493,59,43
1002969,8:A2966,120.5897695616,42,22
2034649,8:A3072,119.7949391127,56,35
1002972,8:A2963,119.3846200615,58,41
1002913,8:C1299,119.2272839288,47,27
1002914,8:3319,119.2272839288,60,41
295105325,31:E227,118.9305176472,47,30
1013442,24:K894,118.1331752534,70,51
1002956,8:A2973,117.9172059431,66,47
295105227,31:E294,117.6548602797,49,33
1013364,24:I170,116.6182207208,67,47
2035057,8:A3079,116.2486505961,61,36
295074650,24:K733,113.9914339935,59,40
2037174,24:I537,111.6928074264,51,35
1002992,8:C1374,111.5628590999,62,45
1003684,8:C1440,111.1471113862,66,51
1002918,8:A2224,111.0173939703,49,28
295074690,24:K775,110.4915535237,44,19
2749997,8:C290,110.0601337729,48,28
1003682,8:C1077,108.5073732919,63,38
1003683,8:C1079,108.5073732919,59,44
1002944,8:A2969,108.4837162762,70,47
2037041,24:K805,108.2161742191,61,38
1002912,8:3318,107.9805802259,49,32
295101343,8:C1502,107.4151277479,60,35
1002987,8:C1425,107.2740391177,70,50
1002917,8:A2219,107.2552493349,62,42
1013440,24:K829,107.1309651092,70,50
2037793,24:K827,106.8844341041,56,32
295077984,24:K832,106.6318722579,42,18
1013357,24:I560,105.5174208129,58,36
2034753,8:C1255,105.4791666262,44,29
2037487,24:K807,105.0615716279,45,27
295086275,24:K1005,104.3422308291,44,27
2035056,8:A3080,104.1678390068,63,46
1013370,24:I576,103.4655991742,53,30
